4B,KILLARK,0260044B,"DRVR,0260026B,50W PROG @ 700MA", $90.08 ,USD,1,PZ,1 PZ,M
4B,KILLARK,VCGP-100,"""V"" SER INCAN. 100 SERIES CLEA", $26.03 ,USD,1,PZ,1 PZ,-
4B,KILLARK,VG-2,"""V"" SER INCAN. FIXTURE HANGER", $29.64 ,USD,1,PZ,1 PZ,-
4B,KILLARK,0452923B,"LBL, BLANK 4X1.375, P.O.P.", $0.10 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0452928B,"LBL, 5x4.875, P.O.P. INSIDE", $1.73 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460260B,"LMP, TOP LEVEL Q500T3/CL-120", $7.68 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460443B,"LMP, SY 120MB", $4.83 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460465B,"LMP, MH 175W MOG, M57PE-R175/U", $34.32 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460466B,"LMP, MH 250W", $32.69 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460468B,"LMP, MH 400 CL MOGUL M59PJ-R400/U", $32.99 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460473B,"LMP, HPS, 50W CLEAR MED S68XX-50", $20.89 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460477B,"LMP, HPS, 70W CLEAR MED S62LG-70", $22.72 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460480B,"LMP, HPS, 100W CL MEDIUM S54SG-100", $25.11 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460482B,"LMP, HPS, 150W CLEAR MEDIUM", $26.03 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460488B,"LMP, HPS, 400W CLEAR MOGUL", $116.16 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460531B,"LMP, MH 100W CL MOGUL MH100/U/ED28", $91.51 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460533B,"LMP, MH 150W DIF MGL M107/ED28 CL", $81.34 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460535B,"LMP, MH 175W PULSESTART MOGUL CLEAR", $74.93 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460536B,"LMP, MH 250W PULSESTART MOGUL CLEAR", $81.34 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460537B,"LMP, MH 320W PULSE VERT MOGUL CLEAR", $92.32 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460538B,"LMP, MH 350W MOGUL CLEAR,PULSE", $53.58 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460539B,"LMP, MH 400W PULSESTART MOGUL CLEAR", $67.05 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460540B,"LMP, 70W MH M98 CLEAR MOGUL", $91.51 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0460559B,"LMP, MHP 150W CLEAR MGL M102 VEN#13556", $78.39 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0548301B,"NAMEPLATE, 9484 BLANK/RESET GO", $1.17 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0722934B,SCR 10-24x0.88 HWSD ROLOK MGD, $1.93 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0723470B,SCR 1/4-20x.38 PDFUHMS 316SS PSV, $0.41 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0777350B,"BLST, ADV 71A8107-500D/UNV 1233-154", $99.85 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0780007B,"SWITCH, OT30F3 30AMP 3P NF ABB", $213.37 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0810040B,"TBLK, WEST TBABT3 STD", $9.10 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0810041B,CONN TERMBLK MRKR STRIP WEST TMS, $0.46 ,USD,1,PZ,1 PZ,M
4B,KILLARK,0824530B,"BLST, BOD CF94GU STYLE 1 BATTPAK", $228.77 ,USD,1,PZ,1 PZ,M
3C,Premise,110BLK100FTK4,"110 SYS, FLDTERM KIT,4PR CONN BK,100PR", $66.38 ,USD,1,PZ,1 PZ,C
4B,KILLARK,VUXG-2-100,"""V"" SER INCAN. LIGHTING(LF)", $80.88 ,USD,1,PZ,1 PZ,-
3C,Premise,1224RRSCRW20,"CABINET ACCESS, #12-24 PHILP SCR,20PK", $11.13 ,USD,1,PK,1 PK,M
4B,KILLARK,15515,"PAN, FITS 12X18 BOX CL1", $99.54 ,USD,1,PZ,1 PZ,M
4B,KILLARK,15516,"PAN, FITS 18X24 BOX CL1", $147.94 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GECXT-1M,.5 IN IRON OUTLET BODY X TYPE, $105.95 ,USD,1,PZ,1 PZ,-
4B,KILLARK,15875AAAB,"GSKT, VBNB (15875)", $0.58 ,USD,1,PZ,1 PZ,M
4B,KILLARK,15941AAAB,"BASE SKT, 4KV PULSE MED", $3.43 ,USD,1,PZ,1 PZ,M
3C,Premise,15ST10,"CONN, D-SUB,15PIN,SVGA,SCR TERM,10PK", $295.69 ,USD,1,PK,1 PK,M
4B,KILLARK,16475AAAB,"LBL, BLANK 3.25x4.5", $0.15 ,USD,1,PZ,1 PZ,M
3C,Premise,HPJ24,"00PANEL,JACK,UNLD,24P,19""WX1.75""H", $74.06 ,USD,1,PZ,1 PZ,-
4B,KILLARK,17028AAAB,SCR 8-32x.38 PDPHSFS 300SS, $0.15 ,USD,1,PZ,1 PZ,M
4B,KILLARK,170C,"CAST CVR, DURALOY7 FE 1/2""", $4.12 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,BATT-PL 6V 8M 6V 8AH,0120707, $74.43 ,USD,1,PZ,1 PZ,M
4B,KILLARK,170SA,"STAMP CVR,CORROSAFE7 AL 1/2""", $5.60 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17509AAAB,"BATT, RECHARGEABLE LEAD ACID", $79.71 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17511AAAB,"XFMR, HUBBELL 702911 CHARGER", $71.68 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,BATT-12V-7.2AH LEAD CALCIUM,0120803, $48.03 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17617,PAN FOR EXB 1014 SERIES, $67.51 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17618,PAN FOR EXB 1010 SERIES, $55.87 ,USD,1,PZ,1 PZ,C
4B,KILLARK,17619,PAN FOR EXB 812 SERIES, $276.35 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17620,PAN FOR EXB 1236 SERIES, $442.74 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17621,PAN FOR EXB 1414 SERIES, $338.88 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,BATT-SLA 6V 3.4A/90M 7-7.2AH,0120824, $22.97 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17623,PAN FOR EXB 1818 SERIES, $141.02 ,USD,1,PZ,1 PZ,M
4B,KILLARK,17624,PAN FOR EXB 2436 SERIES, $395.51 ,USD,1,PZ,1 PZ,M
4B,KILLARK,18649AAAB,"CTN-DC, 5.00x4.25x3.75 200B", $1.60 ,USD,1,PZ,1 PZ,M
5C,Columbia Lighting,CS8-296T8-EU,04275009F910000, $84.92 ,USD,1,PZ,1 PZ,-
4B,KILLARK,1FA,"CVR, 1GANG DUPLEX REC N/COAT", $6.04 ,USD,1,PZ,1 PZ,M
4B,KILLARK,1FAC,"CVR, 1GANG DUPLEX REC COAT'D", $6.14 ,USD,1,PZ,1 PZ,M
4B,KILLARK,K15041-G,"1 1/2"" 45° LT CONNECTOR INSULATED GRD", $12.05 ,USD,1,PZ,1 PZ,-
4B,KILLARK,1FBC,"CVR, 1GANG BLANK COAT'D", $6.41 ,USD,1,PZ,1 PZ,M
4B,KILLARK,1FGC,"CVR, 1GANG 1-5/8"" ROUND COAT'D", $6.41 ,USD,1,PZ,1 PZ,M
4B,KILLARK,1FR,"CVR, 1GANG 1-13/32"" RND N/COAT", $6.41 ,USD,1,PZ,1 PZ,M
4B,KILLARK,1FRC,"CVR, 1GANG 1-13/32"" RND COAT'D", $6.41 ,USD,1,PZ,1 PZ,M
4B,KILLARK,K15091,"1 1/2"" 90° LT CONNECTOR INSULATED", $14.64 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K15091-G,"1 1/2"" 90° LT CONNECTOR INSULATED GRD", $22.55 ,USD,1,PZ,1 PZ,-
4B,KILLARK,RE54S,"1 1/2"" TO 1 1/4"" REDUCER STEEL", $9.15 ,USD,1,PZ,1 PZ,-
4B,KILLARK,BUIG4,1 1/4 GRND BSHG INSUL 150C 4 - 14 AL LUG, $4.73 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K12591,"1 1/4"" 90° LT CONNECTOR INSULATED", $10.98 ,USD,1,PZ,1 PZ,-
4B,KILLARK,270,"STEEL CVR, DURALOY7 STEEL 3/4""", $6.19 ,USD,1,PZ,1 PZ,C
4B,KILLARK,270C,"CAST CVR, DURALOY 7 FE 3/4""", $6.53 ,USD,1,PZ,1 PZ,M
4B,KILLARK,270G,"STL CVR, DURALOY7 3/4""-INT NE GSKT", $7.94 ,USD,1,PZ,1 PZ,M
4B,KILLARK,K1259,"1 1/4"" 90° LT CONNECTOR NON-INSULATED", $9.26 ,USD,1,PZ,1 PZ,-
4B,KILLARK,270SA,"STAMP CVR,CORROSAFE7 AL 3/4""", $5.73 ,USD,1,PZ,1 PZ,B
4B,KILLARK,280F,"CAST CVR, DURALOY8 FE 3/4""", $22.01 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FB,"CVR, BLANK AL FOR 2GANG", $21.10 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FBC,"CVR, 2GANG BLANK COAT'D", $23.69 ,USD,1,PZ,1 PZ,C
4B,KILLARK,2FD-2,"DEVICE BOX 2GANG AL  3/4""", $49.06 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FS-1,"DEVICE BOX 2GANG SHLW AL 1/2""", $44.58 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FS-2,"DEVICE BOX 2GANG SHLW AL 3/4""", $41.18 ,USD,1,PZ,1 PZ,M
4B,KILLARK,X47,"1 1/4"" CST IRON CONDUIT BODY ""X""", $52.41 ,USD,1,PZ,1 PZ,-
4B,KILLARK,2FS-3,"STD LOC 2GANG 1"" FS FITT  (SF)", $43.72 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FSBC,"CVR, AL BLANK 2GANG", $17.64 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FSC-2,"FSC DEV BOX 2 GANG SHL 3/4""", $36.04 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2FSRG,"GASKET, 2GANG NEOPRENE", $7.27 ,USD,1,PZ,1 PZ,M
4B,KILLARK,UNY4,"1 1/4"" MALE UNION IRON", $96.08 ,USD,1,PZ,1 PZ,-
4B,KILLARK,2HFX-G2,"DISCONTINUED-CAT. NO., HFX-G2", $341.27 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2HFX-G4,"DISCONTINUED-WIRE GUARD, 2 LAMP CLI", $201.67 ,USD,1,PZ,1 PZ,M
4B,KILLARK,2HKB,"ENCL, DOUBLE CVR AL", $237.36 ,USD,1,PZ,1 PZ,M
4B,KILLARK,K1251,"1 1/4"" STR LT CONNECTOR INSULATED", $8.90 ,USD,1,PZ,1 PZ,-
4B,KILLARK,370,"STEEL CVR, DURALOY7 STAMP 1""", $7.14 ,USD,1,PZ,1 PZ,M
4B,KILLARK,370C,"CAST CVR, DURALOY7 FE 1""", $5.76 ,USD,1,PZ,1 PZ,M
4B,KILLARK,370G,"STL CVR, DURALOY7 1""-INT NE GSKT", $9.66 ,USD,1,PZ,1 PZ,M
4B,KILLARK,370SA,"STAMP CVR, CORROSAFE7 AL 1""", $5.98 ,USD,1,PZ,1 PZ,M
4B,KILLARK,3FDQ,DEVICE BOX 3GANG DEEP AL IND COVERS, $201.93 ,USD,1,PZ,1 PZ,M
4B,KILLARK,3HFX-G4,"DISCONTINUED-WIRE GUARD, 3 LAMP CLI", $179.51 ,USD,1,PZ,1 PZ,M
5H,Outdoor,4024C,4024C, $29.82 ,USD,1,PZ,1 PZ,M
5H,Outdoor,4041,4041, $84.71 ,USD,1,PZ,1 PZ,M
4B,KILLARK,K125,"1 1/4"" STR LT CONNECTOR NON-INSULATED", $7.54 ,USD,1,PZ,1 PZ,-
4B,KILLARK,470C,"CAST CVR, DURALOY7 FE 1-1/4""", $19.06 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GECXT-3M,1 IN IRON OUTLET BODY X TYPE 2-, $107.41 ,USD,1,PZ,1 PZ,-
4B,KILLARK,470SA,"FORM 7, 1 1/4 STAMPED CVR AL", $6.61 ,USD,1,PZ,1 PZ,M
4B,KILLARK,4GCBB-15Q1,DISCONTINUED-LOAD CENTER 4-1P 120V 15A," $2,242.65 ",USD,1,PZ,1 PZ,M
4B,KILLARK,VR632E3,"1"" 2W3P STYL2 60A RECEPTACLE TYPE E", $496.17 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K10041-G,"1"" 45° LT CONNECTOR INSULATED GRD", $8.54 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K10091-G,"1"" 90° LT CONNECTOR INSULATED GRD", $8.50 ,USD,1,PZ,1 PZ,-
4B,KILLARK,51433AAAB,"DISCONT'D-KILLARKLED,PCB,3XCREEXPG35000K", DESCONTINUADO ,USD,1,PZ,1 PZ,M
4B,KILLARK,X37SA,"1"" ALUM CONDUIT BODY ""X""", $27.85 ,USD,1,PZ,1 PZ,-
4B,KILLARK,XC-3,"1"" C TYPE AL HAZ LOC FITTING", $60.65 ,USD,1,PZ,1 PZ,-
4B,KILLARK,570,"STEEL CVR, DURALOY7  1-1/2""", $11.07 ,USD,1,PZ,1 PZ,M
4B,KILLARK,570C,"CAST CVR,DURALOY7 FE 1-1/2""", $10.22 ,USD,1,PZ,1 PZ,M
4B,KILLARK,570CSA,"FORM 7, 1 1/2 CSTG CVR AL", $50.89 ,USD,1,PZ,1 PZ,M
4B,KILLARK,OC-3,"1"" C TYPE ALUM CONDUIT BODY", $13.52 ,USD,1,PZ,1 PZ,-
4B,KILLARK,570SA,"STAMP CVR, CORROSAFE7 1-1/2""", $8.26 ,USD,1,PZ,1 PZ,B
4B,KILLARK,6064,CLI GRM METAL PAN, $52.82 ,USD,1,PZ,1 PZ,M
4B,KILLARK,60XFS-30-30J3,"DISCONT'D-CLI 30A,600V J FUSE DISC  (DE)"," $3,882.37 ",USD,1,PZ,1 PZ,M
4B,KILLARK,OLB-3M,"1"" DURALOY CONDUIT BODY TYPE LB", $18.56 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OE-3,"1"" E TYPE ALUM CONDUIT BODY", $21.96 ,USD,1,PZ,1 PZ,-
4B,KILLARK,670,"STEEL CVR, DURALOY7 2""", $9.26 ,USD,1,PZ,1 PZ,C
4B,KILLARK,670C,"CAST CVR, DURALOY7 FE 2""", $18.45 ,USD,1,PZ,1 PZ,M
4B,KILLARK,670CSA,"FORM 7, 2 CSTG CVR AL", $22.27 ,USD,1,PZ,1 PZ,M
4B,KILLARK,FS-3,"1"" K ALUM SHALLOW DEVICE BOX", $24.29 ,USD,1,PZ,1 PZ,-
4B,KILLARK,670SA,"STAMP CVR, CORROSAFE7 2""", $12.35 ,USD,1,PZ,1 PZ,C
4B,KILLARK,OLL-3,"1"" LL TYPE ALUM CONDUIT BODY", $17.44 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OLK-3-SG,"1"" SILICONE GASKET", $2.08 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OL-30M,"1"" STAMPED STEEL COVER", $2.29 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OT-3,"1"" T TYPE ALUM CONDUIT BODY", $15.96 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OTB-3,"1"" TB TYPE ALUM CONDUIT BODY", $15.30 ,USD,1,PZ,1 PZ,-
4B,KILLARK,RE31S,"1"" TO 1/2"" REDUCER STEEL", $2.95 ,USD,1,PZ,1 PZ,-
4B,KILLARK,RE32S,"1"" TO 3/4"" REDUCER STEEL", $2.95 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OX-3,"1"" X TYPE ALUM CONDUIT BODY", $25.67 ,USD,1,PZ,1 PZ,-
4B,KILLARK,7988-1,"PAN, FITS 12X12 BOX CLI", $129.38 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7988-4,"PAN, FITS 12X24 BOX CLI", $87.59 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7995-1,"PAN, FITS 16X16 BOX CLI", $107.06 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7996-1,"PAN, FITS 8X8 BOX  CLI", $121.17 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7996-2,"PAN, FITS 8X10 BOX CLI", $122.36 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7997-1,"PAN, FITS 6X8 BOX CLI", $190.59 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7997-5,"PAN, FITS 6X6 BOX CLI", $38.79 ,USD,1,PZ,1 PZ,M
4B,KILLARK,7997-6,PAN FOR EXB 612 SERIES, $87.03 ,USD,1,PZ,1 PZ,M
4B,KILLARK,DF-100,"1"" ZA Deflection Fitting", $378.23 ,USD,1,PZ,1 PZ,-
4B,KILLARK,AF-100,"1"" ZA Expansion Fitting 4"" Mvmt", $116.93 ,USD,1,PZ,1 PZ,-
5I,Industrial,7AP53R,7-AP-53-R, $125.89 ,USD,1,PZ,1 PZ,M
4B,KILLARK,AJ-100125-14,"1""-1-1/4"" Bonding Jumper 14"" Length", $61.01 ,USD,1,PZ,1 PZ,-
4B,KILLARK,GESLBT-4M,1.25 IN IRON OUTLET BODY LB TY, $206.55 ,USD,1,PZ,1 PZ,-
5H,Outdoor,80032890100,REFR-REPL-LUMASQ II-V-825-HID, $71.29 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GESCT-4M,1.25 IN IRON OUTLET BODY TYPE C, $229.23 ,USD,1,PZ,1 PZ,-
5H,Outdoor,85001630104,DOOR-SLS REPL, $76.23 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GEJCT-5M,1.5 IN IRON OUTLET BODY C TYP, $383.62 ,USD,1,PZ,1 PZ,-
4B,KILLARK,870C,"CAST CVR, DURALOY7 FE 21/2""-3""", $17.93 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GEJLT-5M,1.5 IN IRON OUTLET BODY L TYP, $322.11 ,USD,1,PZ,1 PZ,-
4B,KILLARK,870SA,"STAMP CVR,CORROSAFE7 AL 3""", $34.07 ,USD,1,PZ,1 PZ,M
5V,Thomas,88276,ESP-125T, $36.84 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GEJLBT-5M,1.5 IN IRON OUTLET BODY LB TY, $376.25 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K0501-G,1/2 IN STRAIGHT LT CONNECTOR INS GRD, $4.23 ,USD,1,PZ,1 PZ,-
4B,KILLARK,K05091-G,"1/2"" 90° LT CONNECTOR STEEL INS GRD", $4.99 ,USD,1,PZ,1 PZ,-
4B,KILLARK,JALX-11,"1/2"" AL JAL X TYPE W/1/2"" HUB COVER", $230.55 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OE-1,"1/2"" ALUM  CONDUIT BODY TYPE E", $12.00 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OLL-1,"1/2"" ALUM  CONDUIT BODY TYPE LL", $11.34 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OX-1,"1/2"" ALUM  CONDUIT BODY TYPE X", $23.13 ,USD,1,PZ,1 PZ,-
4B,KILLARK,X17SA,"1/2"" ALUM COND BODY ""X""", $18.11 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93031771,LG2S, Descontinuado ,USD,1,PZ,1 PZ,C
4B,KILLARK,OC-1,"1/2"" ALUM CONDUIT BODY TYPE C", $8.74 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OLB-1,"1/2"" ALUM CONDUIT BODY TYPE LB", $6.71 ,USD,1,PZ,1 PZ,-
4B,KILLARK,OLR-1,"1/2"" ALUM CONDUIT BODY TYPE LR", $10.98 ,USD,1,PZ,1 PZ,-
5V,Thomas,93039001,BSP3-277-LC, $9.94 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93041098,EVODW, $86.17 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93041415,EVCURW, $173.83 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93041421,EVCURWD4, $196.00 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GEMLB-1,"1/2"" ALUM OUTLET BODY LB TYPE", $33.14 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93043107,CU2, $42.07 ,USD,1,PZ,1 PZ,A
5E,Dual-Lite,93043108,CU2RC, $44.27 ,USD,1,PZ,1 PZ,C
5E,Dual-Lite,93043109,CCR, $66.25 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93043110,CCG, $78.22 ,USD,1,PZ,1 PZ,M
4B,KILLARK,GEMT-1,"1/2"" ALUM OUTLET BODY T TYPE 2", $32.95 ,USD,1,PZ,1 PZ,-
4B,KILLARK,GUML-1M,"1/2"" ANGLE UNION", $57.85 ,USD,1,PZ,1 PZ,-
5C,Columbia Lighting,93045817,CM36Y2SC3F-KIT, $73.36 ,USD,1,PZ,1 PZ,M
4B,KILLARK,FS-1M,"1/2"" DEAD END SHALLOW IRON", $26.84 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93047780,CU2WG, $169.96 ,USD,1,PZ,1 PZ,B
4B,KILLARK,FSCC-1,"1/2"" K ALUM SHALLOW DEV BX TYPE FSCC", $33.20 ,USD,1,PZ,1 PZ,-
4B,KILLARK,FSR-1,"1/2"" K ALUM SHALLOW DEV BX TYPE FSR", $30.86 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93048720,DYN6, $338.18 ,USD,1,PZ,1 PZ,M
4B,KILLARK,FSS-1,"1/2"" K ALUM SHALLW DEVICE BOX TYPE FSS", $36.86 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93048722,DYN6I, $338.75 ,USD,1,PZ,1 PZ,M
4B,KILLARK,OL-10,"1/2"" STAMPED ALUMINUM COVER", $1.93 ,USD,1,PZ,1 PZ,-
5E,Dual-Lite,93048724,DYN12-06L, $386.98 ,USD,1,PZ,1 PZ,C
5E,Dual-Lite,93048725,DYN12-4X, $384.13 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93048726,DYN12-4X-06L, $374.82 ,USD,1,PZ,1 PZ,A
5E,Dual-Lite,93048727,DYN12I, $357.52 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93048728,DYN12I-06L, $389.76 ,USD,1,PZ,1 PZ,M
4B,KILLARK,DF-50,"1/2"" ZA Deflection Fitting", $284.69 ,USD,1,PZ,1 PZ,-
5C,Columbia Lighting,93049168,XEM4-232-RA-EU, $126.55 ,USD,1,PZ,1 PZ,B
5E,Dual-Lite,93050453,EVHC6, $262.70 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93050454,EVHC6I, $264.30 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93050457,EVHC12, $300.41 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93050459,EVHC12-06L, $234.30 ,USD,1,PZ,1 PZ,M
4B,KILLARK,AF-50,"1/2"" ZA Expansion Fitting 4"" Mvmt", $76.36 ,USD,1,PZ,1 PZ,-
4B,KILLARK,AJ-5075-14,"1/2""-3/4"" Bonding Jumper 14"" Length", $54.65 ,USD,1,PZ,1 PZ,-
5C,Columbia Lighting,93053026,XEM4-254-RA-EPU, $187.29 ,USD,1,PZ,1 PZ,M
5E,Dual-Lite,93053076,CU2B, $35.29 ,USD,1,PZ,1 PZ,M
4B,KILLARK,KB1-4X,"1/2""GRP B,ANODIZED AL DRAIN/BREATHER,4X", $144.63 ,USD,1,PZ,1 PZ,-
5C,Columbia Lighting,93053375,LXEM4-40LW-RFA-EU, $311.60 ,USD,1,PZ,1 PZ,M
5C,Columbia Lighting,93053376,LXEM4-40ML-RFA-EU, $282.70 ,USD,1,PZ,1 PZ,B
5C,Columbia Lighting,93054465,LENS-LWS WRAP LENS, $38.09 ,USD,1,PZ,1 PZ,M
4B,KILLARK,SWB-1,"1/2""SWB DEVBODY 5 7/8X3X2 1/4"" DEADEND", $80.38 ,USD,1,PZ,1 PZ,-
5C,Columbia Lighting,93055454,XEM8-296T8-RA-EU, $233.00 ,USD,1,PZ,1 PZ,M
5C,Columbia Lighting,93056101,LLHV4-50H-NST-EDU, $642.19 ,USD,1,PZ,1 PZ,B
5V,Thomas,93056189,HLPC-120, $35.43 ,USD,1,PZ,1 PZ,B
4B,KILLARK,VP1034,100A 3W4P PLUG ASSY. AT, $421.39 ,USD,1,PZ,1 PZ,-
4B,KILLARK,VR1034,100A 3W4P RECEPT ASSY. AT, $392.06 ,USD,1,PZ,1 PZ,-
5V,Thomas,93057105,LED25W-72-C0350, $37.84 ,USD,1,PZ,1 PZ,M
5V,Thomas,93057151,HLPC-208-277, $33.65 ,USD,1,PZ,1 PZ,B
4B,KILLARK,VPR10457,100A 4W4P CONNECT ASSY., $544.17 ,USD,1,PZ,1 PZ,-
4B,KILLARK,KWPH100,100W MH QUAD-VOLT WALLPACK," $1,196.46 ",USD,1,PZ,1 PZ,-
